,C. sp X1,C. sp X2,C. sp X3,C. sp X4,C. sp X5,C. sp X6,C. sp X7,C. sp X8,C. sp X9
AA11,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
AA12,1.0,1.0,1.0,1.0,9.0,1.0,3.0,1.0,4.0
AA1_1,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0
AA1_2,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0
AA1_3,5.0,6.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0
AA2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
AA3,22.0,26.0,34.0,13.0,39.0,13.0,21.0,17.0,25.0
AA3_1,4.0,2.0,10.0,3.0,12.0,2.0,4.0,3.0,5.0
AA3_2,19.0,21.0,17.0,9.0,29.0,12.0,14.0,11.0,15.0
AA3_3,20.0,17.0,22.0,9.0,30.0,13.0,16.0,13.0,18.0
AA4,0.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0
AA5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
AA5_1,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0
AA5_2,2.0,4.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0
AA6,1.0,3.0,5.0,1.0,6.0,1.0,2.0,2.0,4.0
AA7,13.0,12.0,17.0,8.0,17.0,6.0,8.0,10.0,10.0
AA8,2.0,2.0,4.0,1.0,9.0,0.0,1.0,2.0,2.0
AA9,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CBM14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
CBM18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CBM20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CBM21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CBM32,3.0,6.0,3.0,3.0,4.0,2.0,2.0,3.0,6.0
CBM35,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
CBM44,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
CBM47,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBM48,0.0,4.0,5.0,0.0,12.0,0.0,0.0,2.0,4.0
CBM50,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0
CBM51,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBM52,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
CBM57,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
CBM6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CBM61,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CBM66,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBM67,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
CBM9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CE1,1.0,4.0,11.0,1.0,24.0,1.0,3.0,7.0,4.0
CE10,15.0,32.0,36.0,8.0,50.0,10.0,21.0,32.0,30.0
CE11,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,1.0
CE14,0.0,3.0,3.0,0.0,5.0,0.0,0.0,0.0,6.0
CE15,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
CE16,4.0,4.0,5.0,4.0,6.0,4.0,4.0,4.0,6.0
CE2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
CE3,3.0,5.0,3.0,3.0,7.0,4.0,3.0,3.0,7.0
CE4,3.0,3.0,14.0,3.0,15.0,3.0,4.0,7.0,8.0
CE5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
CE6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CE7,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
CE9,0.0,3.0,3.0,0.0,3.0,0.0,1.0,2.0,2.0
GH1,0.0,2.0,11.0,0.0,24.0,0.0,3.0,9.0,4.0
GH10,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
GH102,0.0,0.0,2.0,0.0,3.0,0.0,1.0,3.0,0.0
GH103,0.0,0.0,1.0,0.0,8.0,0.0,1.0,3.0,0.0
GH105,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GH106,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GH108,0.0,0.0,2.0,0.0,3.0,0.0,1.0,3.0,0.0
GH109,0.0,3.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0
GH110,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
GH113,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GH114,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GH117,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GH123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GH125,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0
GH127,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
GH128,6.0,7.0,6.0,8.0,10.0,8.0,7.0,7.0,8.0
