,C. sp X1,C. sp X2,C. sp X3,C. sp X4,C. sp X5,C. sp X6,C. sp X7,C. sp X8,C. sp X9
A01A,14.0,14.0,14.0,11.0,11.0,9.0,16.0,11.0,11.0
A01X,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A08,0.0,2.0,3.0,0.0,3.0,0.0,1.0,3.0,2.0
A22B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A24A,0.0,2.0,4.0,0.0,3.0,0.0,1.0,1.0,2.0
A28A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0
A32,0.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0
C01B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C02A,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0
C110,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0
C115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C12,4.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0
C13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C14B,1.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0
C15,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
C19,18.0,16.0,17.0,17.0,16.0,17.0,16.0,18.0,17.0
C26,9.0,37.0,53.0,9.0,61.0,10.0,15.0,26.0,30.0
C39,0.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,6.0
C40,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,11.0
C44,6.0,19.0,24.0,5.0,33.0,6.0,9.0,19.0,18.0
C45,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
C48,4.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0
C50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
C56,2.0,8.0,13.0,1.0,19.0,1.0,3.0,8.0,3.0
C60A,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
C65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C82A,0.0,6.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0
C84,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C85A,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
C85B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C97,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
I04,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
I32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
I38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
I39,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
I51,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
I87,0.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,1.0
M01,4.0,10.0,8.0,4.0,12.0,4.0,6.0,11.0,7.0
M02,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0
M03A,2.0,6.0,4.0,2.0,7.0,2.0,3.0,3.0,6.0
M03B,0.0,2.0,2.0,0.0,6.0,0.0,0.0,1.0,0.0
M03C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
M04,0.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0
M06,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
M10A,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0
M10B,1.0,1.0,3.0,1.0,10.0,1.0,4.0,6.0,1.0
M12A,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
M12B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
M13,1.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0
M14A,2.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0
M14B,0.0,5.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
M14D,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
M15A,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M15B,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0
M16A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
M16B,3.0,10.0,13.0,3.0,21.0,3.0,6.0,13.0,10.0
M16C,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
M17,0.0,4.0,6.0,0.0,13.0,0.0,2.0,6.0,5.0
M18,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
M19,1.0,2.0,7.0,1.0,12.0,1.0,4.0,9.0,1.0
M20A,0.0,11.0,19.0,0.0,25.0,0.0,4.0,10.0,3.0
M20B,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M20D,2.0,7.0,12.0,2.0,26.0,2.0,5.0,9.0,6.0
M20F,2.0,5.0,6.0,2.0,10.0,2.0,2.0,6.0,4.0
M20X,1.0,4.0,4.0,1.0,16.0,1.0,1.0,4.0,2.0
M23B,0.0,14.0,16.0,0.0,14.0,0.0,3.0,8.0,5.0
M24A,2.0,15.0,10.0,3.0,10.0,3.0,3.0,4.0,8.0
M24B,3.0,9.0,8.0,3.0,12.0,3.0,5.0,8.0,8.0
M24X,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
M28A,1.0,2.0,4.0,1.0,5.0,1.0,2.0,2.0,4.0
M28B,2.0,3.0,4.0,2.0,4.0,2.0,3.0,6.0,2.0
M28D,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0
M28E,3.0,3.0,5.0,3.0,3.0,3.0,5.0,7.0,3.0
M28F,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
M28X,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0
M29,0.0,4.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0
M32,0.0,3.0,3.0,0.0,4.0,0.0,0.0,1.0,1.0
M35,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
M36,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M38,5.0,13.0,34.0,5.0,58.0,6.0,11.0,22.0,28.0
M41,2.0,8.0,12.0,2.0,16.0,2.0,3.0,5.0,7.0
M42,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0
M43B,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
M48A,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
M48B,0.0,3.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0
M48C,3.0,3.0,7.0,3.0,13.0,2.0,5.0,12.0,6.0
M49,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
M50A,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0
M50B,0.0,7.0,10.0,0.0,13.0,0.0,1.0,3.0,4.0
M54,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
M55,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
M56,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
M61,0.0,0.0,2.0,0.0,2.0,0.0,1.0,4.0,1.0
M67A,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
M67B,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M67C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
M67X,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
M74,0.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0
M76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
M77,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0
M79,1.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
M80,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
M81,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,1.0
M82,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N06,0.0,2.0,4.0,0.0,9.0,0.0,2.0,4.0,2.0
