GeneID	scaffold:start-end	strand	length	description	Ortho Group	EggNog	BUSCO	Secreted	TransMembrane	Protease family	CAZyme family	Transcription factor	InterPro Domains	PFAM Domains	GO terms	SecMet Cluster	SMCOG
X2_000001	scaffold_1:1975-3064	-	307	hypothetical protein		ENOG41											
X2_000002	scaffold_1:6824-8674	-	596	hypothetical protein													
X2_000003	scaffold_1:9162-11033	-	584	hypothetical protein		ENOG41											
X2_000004	scaffold_1:12136-13497	-	426	hypothetical protein		ENOG41											
X2_000005	scaffold_1:14649-16863	-	721	hypothetical protein		ENOG41											
X2_000006	scaffold_1:17775-19653	-	592	hypothetical protein													
X2_000007	scaffold_1:20932-21614	-	180	hypothetical protein		ENOG41											
X2_000008	scaffold_1:22338-27433	+	1071	hypothetical protein		ENOG41											
X2_000009	scaffold_1:47501-48869	+	377	hypothetical protein													
X2_000010	scaffold_1:48913-49840	-	292	hypothetical protein													
X2_000011	scaffold_1:53391-54366	-	106	40s ribosomal protein L44e													
X2_000012	scaffold_1:54565-55345	+	212	hypothetical protein		ENOG41											
X2_000013	scaffold_1:55429-56499	-	324	hypothetical protein		ENOG41											
X2_000014	scaffold_1:57421-65420	+	2277	hypothetical protein		ENOG41											
X2_000015	scaffold_1:67032-68785	-	473	hypothetical protein													
X2_000016	scaffold_1:69912-70694	+	239	hypothetical protein													
X2_000017	scaffold_1:72692-82428	-	2928	hypothetical protein		ENOG41											
X2_000018	scaffold_1:82654-89236	+	1892	hypothetical protein													
X2_000019	scaffold_1:89584-92869	+	1094	hypothetical protein													
X2_000020	scaffold_1:114672-115107	+	144	hypothetical protein													
X2_000021	scaffold_1:115299-115873	+	152	hypothetical protein													
X2_000022	scaffold_1:116240-117411	+	330	hypothetical protein													
X2_000023	scaffold_1:117470-118885	-	455	hypothetical protein		ENOG41											
X2_000024	scaffold_1:119587-120893	+	415	hypothetical protein		ENOG41											
X2_000025	scaffold_1:121251-122985	+	503	hypothetical protein													
X2_000026	scaffold_1:123447-123927	+	159	iron-binding protein													
X2_000027	scaffold_1:125549-126849	+	312	hypothetical protein		ENOG41											
X2_000028	scaffold_1:127943-128944	-	194	hypothetical protein		ENOG41											
X2_000029	scaffold_1:129193-132775	+	978	hypothetical protein													
X2_000030	scaffold_1:134761-139786	+	1118	hypothetical protein													
X2_000031	scaffold_1:140066-142721	-	806	hypothetical protein													
X2_000032	scaffold_1:143093-144526	-	322	hypothetical protein		ENOG41											
X2_000033	scaffold_1:144764-147031	+	625	hypothetical protein													
X2_000034	scaffold_1:148137-148746	+	202	hypothetical protein													
X2_000035	scaffold_1:148913-150632	-	458	hypothetical protein		ENOG41											
X2_000036	scaffold_1:154656-160305	+	1509	hypothetical protein		ENOG41											
X2_000037	scaffold_1:161750-163548	-	535	hypothetical protein													
X2_000038	scaffold_1:171099-186627	-	5154	hypothetical protein		ENOG41											
X2_000039	scaffold_1:186687-192166	-	1826	hypothetical protein		ENOG41											
X2_000040	scaffold_1:192847-194810	-	567	hypothetical protein													
X2_000041	scaffold_1:194940-198090	+	763	hypothetical protein		ENOG41											
X2_000042	scaffold_1:199369-201447	-	551	hypothetical protein													
X2_000043	scaffold_1:202152-202882	+	199	hypothetical protein		ENOG41											
X2_000044	scaffold_1:203469-204688	-	390	hypothetical protein		ENOG41											
X2_000045	scaffold_1:205361-206243	+	214	hypothetical protein													
X2_000046	scaffold_1:206835-208818	-	637	RNA-dependent ATPase													
X2_000047	scaffold_1:211103-212333	+	409	hypothetical protein													
X2_000048	scaffold_1:214836-215289	-	150	hypothetical protein													
X2_000049	scaffold_1:216445-218163	-	442	hypothetical protein		ENOG41											
X2_000050	scaffold_1:219625-221800	+	637	hypothetical protein		ENOG41											
X2_000051	scaffold_1:224464-225996	+	486	hypothetical protein													
X2_000052	scaffold_1:226278-234166	-	2611	hypothetical protein													
X2_000053	scaffold_1:234371-236284	+	573	hypothetical protein		ENOG41											
X2_000054	scaffold_1:237398-240472	+	959	hypothetical protein		ENOG41											
X2_000055	scaffold_1:244779-252229	+	1978	hypothetical protein													
X2_000056	scaffold_1:252649-256150	-	846	hypothetical protein		ENOG41											
X2_000057	scaffold_1:256985-259465	-	322	hypothetical protein													
X2_000058	scaffold_1:260245-263944	+	1232	DNA-directed RNA polymerase I subunit RPA2													
X2_000059	scaffold_1:264132-265788	-	551	hypothetical protein													
X2_000060	scaffold_1:266296-269862	-	860	hypothetical protein		ENOG41											
X2_000061	scaffold_1:270928-271971	-	283	Proteasome subunit beta type-5													
X2_000062	scaffold_1:272381-274065	+	542	hypothetical protein		ENOG41											
X2_000063	scaffold_1:274438-276396	+	548	hypothetical protein													
X2_000064	scaffold_1:276652-277359	-	203	hypothetical protein													
X2_000065	scaffold_1:278653-285127	+	2137	hypothetical protein													
X2_000066	scaffold_1:286664-289814	-	1049	hypothetical protein													
X2_000067	scaffold_1:292323-293772	+	482	hypothetical protein													
X2_000068	scaffold_1:294226-298301	+	661	hypothetical protein													
X2_000069	scaffold_1:298759-302057	-	1056	hypothetical protein													
X2_000070	scaffold_1:302617-304539	+	624	hypothetical protein													
X2_000071	scaffold_1:304985-308491	+	1131	hypothetical protein		ENOG41											
X2_000072	scaffold_1:308497-309865	-	455	hypothetical protein													
X2_000073	scaffold_1:310590-313096	-	817	hypothetical protein													
X2_000074	scaffold_1:313884-315255	+	418	hypothetical protein													
X2_000075	scaffold_1:315652-318746	+	978	hypothetical protein													
X2_000076	scaffold_1:319002-324344	-	1215	hypothetical protein													
X2_000077	scaffold_1:324813-325800	+	253	hypothetical protein													
X2_000078	scaffold_1:327795-329999	+	712	hypothetical protein		ENOG41											
X2_000079	scaffold_1:330537-332729	-	706	hypothetical protein													
X2_000080	scaffold_1:333812-334586	-	257	hypothetical protein													
X2_000081	scaffold_1:472038-473107	+	342	hypothetical protein		ENOG41											
X2_000082	scaffold_1:490780-491758	-	325	hypothetical protein		ENOG41											
X2_000083	scaffold_1:492992-499741	+	2094	hypothetical protein		ENOG41											
X2_000084	scaffold_1:516923-517471	+	164	hypothetical protein		ENOG41											
X2_000085	scaffold_1:517651-518804	-	329	hypothetical protein													
X2_000086	scaffold_1:519050-522405	+	794	hypothetical protein													
X2_000087	scaffold_1:522597-525105	-	724	Autophagy protein 7													
X2_000088	scaffold_1:525433-528847	+	908	hypothetical protein													
X2_000089	scaffold_1:529964-532056	+	631	hypothetical protein													
X2_000090	scaffold_1:533014-536987	-	1307	hypothetical protein													
X2_000091	scaffold_1:537726-539728	+	565	hypothetical protein													
X2_000092	scaffold_1:539870-541748	-	586	hypothetical protein													
X2_000093	scaffold_1:585871-586718	-	192	hypothetical protein													
X2_000094	scaffold_1:588043-588913	+	268	hypothetical protein		ENOG41											
X2_000095	scaffold_1:608812-610807	+	610	hypothetical protein													
X2_000096	scaffold_1:611667-615461	+	1203	glutamate dehydrogenase (NADP(+)) gdh1													
X2_000097	scaffold_1:616171-616682	+	136	hypothetical protein													
X2_000098	scaffold_1:617948-622774	-	1591	hypothetical protein													
X2_000099	scaffold_1:624052-625014	-	302	hypothetical protein		ENOG41											
X2_000100	scaffold_1:625796-629978	-	942	hypothetical protein		ENOG41											
X2_000101	scaffold_1:631622-634013	-	796	hypothetical protein													
X2_000102	scaffold_1:634424-635946	+	490	hypothetical protein													
X2_000103	scaffold_1:636312-637023	-	236	hypothetical protein		ENOG41											
X2_000104	scaffold_1:637653-639173	-	358	hypothetical protein		ENOG41											
X2_000105	scaffold_1:640574-641675	-	306	Prohibitin-2, subunit of the prohibitin complex (Phb1p-Phb2p)													
X2_000106	scaffold_1:642356-643471	+	333	hypothetical protein													
X2_000107	scaffold_1:645366-645802	-	88	hypothetical protein		ENOG41											
X2_000108	scaffold_1:647547-649705	+	590	hypothetical protein													
X2_000109	scaffold_1:651186-652293	+	368	hypothetical protein		ENOG41											
X2_000110	scaffold_1:654184-655522	-	408	hypothetical protein		ENOG41											
X2_000111	scaffold_1:657300-660439	-	1030	hypothetical protein		ENOG41											
X2_000112	scaffold_1:660764-661635	+	264	hypothetical protein		ENOG41											
X2_000113	scaffold_1:662187-662640	-	150	hypothetical protein													
X2_000114	scaffold_1:662865-668130	+	1114	hypothetical protein		ENOG41											
X2_000115	scaffold_1:668796-671996	+	1002	hypothetical protein		ENOG41											
X2_000116	scaffold_1:673014-673725	-	183	Small subunit (SSU) processome component													
X2_000117	scaffold_1:674062-674841	+	241	hypothetical protein		ENOG41											
X2_000118	scaffold_1:675314-676890	-	441	hypothetical protein													
X2_000119	scaffold_1:677404-681044	-	1026	hypothetical protein		ENOG41											
X2_000120	scaffold_1:681298-682349	+	303	hypothetical protein													
X2_000121	scaffold_1:682467-684411	-	607	hypothetical protein		ENOG41											
X2_000122	scaffold_1:685107-685614	+	168	hypothetical protein		ENOG41											
X2_000123	scaffold_1:686845-689043	+	488	hypothetical protein		ENOG41											
X2_000124	scaffold_1:692449-694297	+	615	hypothetical protein		ENOG41											
X2_000125	scaffold_1:695017-695825	+	250	hypothetical protein													
X2_000126	scaffold_1:697255-699832	-	858	hypothetical protein		ENOG41											
X2_000127	scaffold_1:750357-751259	+	269	hypothetical protein		ENOG41											
X2_000128	scaffold_1:752256-754498	-	652	Fimbrin, actin-bundling protein													
X2_000129	scaffold_1:755078-756337	-	401	hypothetical protein		ENOG41											
X2_000130	scaffold_1:756836-759059	-	740	hypothetical protein		ENOG41											
X2_000131	scaffold_1:760028-763344	-	1087	hypothetical protein													
X2_000132	scaffold_1:769230-772170	+	979	hypothetical protein													
X2_000133	scaffold_1:773238-774120	-	276	hypothetical protein		ENOG41											
X2_000134	scaffold_1:778819-780959	+	575	hypothetical protein		ENOG41											
X2_000135	scaffold_1:781311-782608	-	384	hypothetical protein													
X2_000136	scaffold_1:782937-785919	+	993	hypothetical protein													
X2_000137	scaffold_1:786182-787971	-	538	hypothetical protein													
X2_000138	scaffold_1:789325-789825	+	111	hypothetical protein													
X2_000139	scaffold_1:790828-793497	+	804	hypothetical protein													
X2_000140	scaffold_1:793969-794599	-	209	hypothetical protein													
X2_000141	scaffold_1:795879-796872	-	330	hypothetical protein													
X2_000142	scaffold_1:797412-798357	-	255	hypothetical protein													
X2_000143	scaffold_1:798679-801143	+	678	hypothetical protein													
X2_000144	scaffold_1:803322-804015	-	230	hypothetical protein													
X2_000145	scaffold_1:880011-881176	+	319	hypothetical protein		ENOG41											
X2_000146	scaffold_1:884006-884792	-	238	hypothetical protein													
X2_000147	scaffold_1:886005-889080	-	591	hypothetical protein													
X2_000148	scaffold_1:889560-891764	+	604	hypothetical protein													
X2_000149	scaffold_1:892477-894166	+	562	hypothetical protein		ENOG41											
X2_000150	scaffold_1:894498-896196	-	515	hypothetical protein		ENOG41											
X2_000151	scaffold_1:929127-933589	-	1366	hypothetical protein													
X2_000152	scaffold_1:934324-936028	-	567	hypothetical protein		ENOG41											
X2_000153	scaffold_1:937139-940779	-	1097	hypothetical protein		ENOG41											
X2_000154	scaffold_1:945950-947342	-	414	hypothetical protein													
X2_000155	scaffold_1:947787-949258	-	458	hypothetical protein													
X2_000156	scaffold_1:949908-952686	-	763	hypothetical protein													
X2_000157	scaffold_1:959777-960558	+	242	Ras GTPase ras2													
X2_000158	scaffold_1:962060-963079	-	291	hypothetical protein													
X2_000159	scaffold_1:965332-969409	+	1358	hypothetical protein		ENOG41											
X2_000160	scaffold_1:970470-970905	+	144	hypothetical protein													
X2_000161	scaffold_1:973186-974047	+	249	hypothetical protein		ENOG41											
X2_000162	scaffold_1:982997-985378	+	646	hypothetical protein		ENOG41											
X2_000163	scaffold_1:985541-986780	+	412	hypothetical protein		ENOG41											
X2_000164	scaffold_1:987418-989166	-	529	hypothetical protein													
X2_000165	scaffold_1:1019593-1020426	-	258	hypothetical protein													
X2_000166	scaffold_1:1021650-1022767	-	327	hypothetical protein		ENOG41											
X2_000167	scaffold_1:1024362-1029807	-	872	hypothetical protein													
X2_000168	scaffold_1:1034076-1036024	-	619	hypothetical protein		ENOG41											
X2_000169	scaffold_1:1037198-1039004	-	531	Cytochrome B translational activator protein cbs2													
X2_000170	scaffold_1:1041109-1041823	-	217	hypothetical protein													
X2_000171	scaffold_1:1042125-1043883	+	585	hypothetical protein													
X2_000172	scaffold_1:1044254-1044883	+	187	hypothetical protein													
X2_000173	scaffold_1:1046355-1047984	+	542	hypothetical protein		ENOG41											
X2_000174	scaffold_1:1048286-1049993	-	549	hypothetical protein		ENOG41											
X2_004632	scaffold_2:14616-16341	+	574	hypothetical protein													
X2_004633	scaffold_2:16465-18783	-	666	hypothetical protein													
X2_004634	scaffold_2:19198-22521	+	985	hypothetical protein		ENOG41											
X2_004635	scaffold_2:24055-24502	-	119	hypothetical protein													
X2_004636	scaffold_2:26504-29969	+	765	hypothetical protein													
X2_004637	scaffold_2:30517-32052	-	473	hypothetical protein													
X2_004638	scaffold_2:32551-36539	+	1094	hypothetical protein													
X2_004639	scaffold_2:36982-40171	+	1062	hypothetical protein		ENOG41											
X2_004640	scaffold_2:40198-42143	+	489	ATP-binding cassette glutathione S-conjugate transporter ycf1		ENOG41											
X2_004641	scaffold_2:43859-46179	+	720	hypothetical protein		ENOG41											
X2_004642	scaffold_2:47271-51865	+	1451	hypothetical protein		ENOG41											
X2_004643	scaffold_2:52171-54679	+	388	hypothetical protein													
X2_004644	scaffold_2:55758-56779	+	319	hypothetical protein													
X2_004645	scaffold_2:57498-60012	-	776	hypothetical protein		ENOG41											
X2_004646	scaffold_2:60906-61287	+	126	hypothetical protein													
X2_004647	scaffold_2:63764-64628	+	221	hypothetical protein													
X2_004648	scaffold_2:65039-67278	-	728	hypothetical protein		ENOG41											
X2_004649	scaffold_2:67938-73119	+	1574	hypothetical protein													
X2_004650	scaffold_2:73770-75029	-	370	hypothetical protein													
X2_004651	scaffold_2:75466-77067	-	368	Ribosome-interacting GTPase 2													
X2_004652	scaffold_2:77292-78543	+	416	Pre-mRNA-splicing factor		ENOG41											
X2_004653	scaffold_2:79178-80072	-	297	hypothetical protein													
X2_004654	scaffold_2:80371-81354	+	308	hypothetical protein		ENOG41											
X2_004655	scaffold_2:81487-83578	-	680	hypothetical protein													
X2_004656	scaffold_2:83944-86362	+	728	hypothetical protein													
X2_004657	scaffold_2:87098-88282	-	282	BAR adaptor protein Hob3													
X2_004658	scaffold_2:88932-90542	-	518	hypothetical protein													
X2_004659	scaffold_2:94058-96171	-	639	hypothetical protein													
X2_004660	scaffold_2:96639-97282	+	176	hypothetical protein													
X2_004661	scaffold_2:97502-98425	-	246	Eukaryotic translation initiation factor 6													
X2_004662	scaffold_2:99072-100731	-	552	hypothetical protein		ENOG41											
X2_004663	scaffold_2:103515-105101	+	410	hypothetical protein													
X2_004664	scaffold_2:105333-107086	-	518	hypothetical protein													
X2_004665	scaffold_2:108058-108726	+	170	E3 ubiquitin ligase complex SCF subunit scon-3													
X2_004666	scaffold_2:109449-109857	-	101	hypothetical protein													
X2_004667	scaffold_2:111077-115263	+	1377	GTPase-activating protein													
