,C. sp X1,C. sp X2,C. sp X3,C. sp X4,C. sp X5,C. sp X6,C. sp X7,C. sp X8,C. sp X9,descriptions
PF00001,0,0,0,0,0,1,0,0,0,7 transmembrane receptor (rhodopsin family)
PF00002,2,2,2,2,1,2,2,2,2,7 transmembrane receptor (Secretin family)
PF00004,58,102,125,56,170,53,67,86,92,ATPase family associated with various cellular activities (AAA)
PF00005,38,263,353,36,636,37,65,175,240,ABC transporter
PF00006,4,13,20,5,29,6,11,18,15,"ATP synthase alpha/beta family, nucleotide-binding domain"
PF00009,18,47,53,17,71,17,24,38,37,Elongation factor Tu GTP binding domain
PF00010,5,5,5,5,5,5,5,5,5,Helix-loop-helix DNA-binding domain
PF00011,1,3,9,2,20,2,1,3,5,Hsp20/alpha crystallin family
PF00012,7,10,11,6,14,7,7,9,11,Hsp70 protein
PF00013,7,12,14,7,13,7,8,9,10,KH domain
PF00015,0,3,11,0,19,0,4,17,18,Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00016,0,0,2,0,6,0,1,1,2,"Ribulose bisphosphate carboxylase large chain, catalytic domain"
PF00018,19,19,17,20,18,19,19,18,18,SH3 domain
PF00022,8,8,8,8,7,8,8,7,8,Actin
PF00023,69,78,74,73,81,61,71,92,76,Ankyrin repeat
PF00024,0,0,1,0,0,0,0,0,0,PAN domain
PF00025,27,33,28,29,28,30,31,29,29,ADP-ribosylation factor family
PF00026,18,18,15,14,16,14,15,17,16,Eukaryotic aspartyl protease
PF00027,4,13,30,4,61,4,6,23,16,Cyclic nucleotide-binding domain
PF00028,0,0,1,0,2,0,1,1,0,Cadherin domain
PF00032,0,2,4,0,7,0,1,3,0,Cytochrome b(C-terminal)/b6/petD
PF00033,0,6,6,0,7,0,1,3,3,Cytochrome b/b6/petB
PF00034,1,11,7,1,24,1,2,8,4,Cytochrome c
PF00035,0,4,2,0,5,0,1,2,1,Double-stranded RNA binding motif
PF00036,7,9,7,9,10,9,8,7,9,EF hand
PF00037,2,11,18,2,26,2,5,10,6,4Fe-4S binding domain
PF00041,1,2,0,0,0,0,0,0,0,Fibronectin type III domain
PF00042,0,0,1,0,1,0,0,0,0,Globin
